target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
estimation_with_decimals,37,48,0.06939134890861143,0.43509677632858035,58.10834799358441,0.04418435557490107,0.27704419898385124,0.6756756756756757,0.7708333333333334
eval_expressions_w_two_var,108,124,0.10114612830117331,0.4403701299978366,186.9509157094424,0.05843128296576183,0.2543981871352996,0.8333333333333334,0.8709677419354839
even_and_odd_functions,110,126,0.10173793840541823,0.4403701299978366,183.77982944749826,0.06089445864783039,0.2635801461204449,0.8454545454545455,0.873015873015873
evolution_bctest_cap,0,1,,,0.0,,,0.0,0.0
exponents_4,61,72,0.072290238350257,0.43509677632858035,91.43654599067213,0.04822693696036519,0.29026581295788406,0.7868852459016393,0.8472222222222222
expressions_with_unknown_variables_2,109,125,0.10379975507149064,0.4403701299978366,183.1331021903482,0.06178114806919258,0.2621063237375443,0.8440366972477065,0.872
factor_word_problems,41,50,0.0729846605426357,0.43509677632858035,54.98813356017969,0.05441848792654829,0.3244148632531528,0.7317073170731707,0.82
factoring_difference_of_squares_4,0,1,,,0.0,,,0.0,0.0
factoring_polynomials_3,0,1,,,0.0,,,0.0,0.0
factoring_polynomials_by_grouping_1,125,141,0.10661116329859266,0.4633152173913043,222.5501721358319,0.05988040936760279,0.26023076782239196,0.824,0.8865248226950354
factoring_polynomials_with_two_variables,125,141,0.10661116329859266,0.4633152173913043,217.64660070726046,0.06122951320635778,0.26609375926715806,0.824,0.8865248226950354
factorization_by_add_sub_square,126,142,0.11164930129082029,0.46466633874405644,216.11692837882535,0.0650935216790805,0.27090871187621185,0.8253968253968254,0.8873239436619719
finding_axis_of_symmetry,110,125,0.09021257781663228,0.5536213195787664,179.11840103626866,0.055401251364566514,0.3399893299702544,0.8454545454545455,0.88
fraction_and_per_swap_divide,0,1,,,0.0,,,0.0,0.0
fraction_integer,1,1,,,2.8653061224489798,,,0.0,1.0
fractions_and_percentage_of_exchange,0,1,,,0.0,,,0.0,0.0
fractions_cut_and_copy,0,1,,,0.0,,,0.0,0.0
fractions_cut_and_copy_2,86,102,0.09543845274582866,0.5210218702865762,129.22828935227173,0.06351323674777855,0.3467343030634791,0.8372093023255814,0.8431372549019608
fractions_on_the_number_line_1,66,79,0.07588354998428126,0.43509677632858035,94.45855211076429,0.053021290153693,0.3040104532198715,0.7878787878787878,0.8354430379746836
fractions_on_the_number_line_3,83,99,0.09416258234025715,0.5285237366267956,122.54799848052768,0.06377496516585858,0.35796153902092803,0.8313253012048193,0.8383838383838383
g_and_kg_word_problems,0,1,,,0.0,,,0.0,0.0
