method,display_name,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,median_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
dkt_set_lao,DKT-set LAO*,46,1,1,1,0,0,1.0,1.0,1.0,1195.2173457615563,1195.2173457615563,1194.9513235411628,0.00022262180488257194,0.00022262180488257194,0.0,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194
dkt_set_lao,DKT-set LAO*,52,1,1,1,0,0,1.0,1.0,1.0,2348.3408198019265,2348.3408198019265,2347.887157111571,0.00019322167548869478,0.00019322167548869478,0.0,0.00019322167548869478,0.00019322167548869478,0.00019322167548869478,0.00019322167548869478
random_frontier,Random Frontier,6,100,100,100,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_frontier,Random Frontier,7,100,100,100,0,0,1.0,1.0,1.0,1323.089547456237,1323.0593725924998,1322.4514196191788,0.0004825340482010952,0.0004597166779072549,0.00023523212598689113,6.925211278168705e-05,0.0007554759183395182,0.0,0.0007554759183395182
random_frontier,Random Frontier,12,100,100,100,0,0,1.0,1.0,1.0,1790.2014747876922,1790.3243490264308,1789.5451791885284,0.00036673877072011763,0.00043540104321685157,0.00017073097372956092,6.191293053841535e-05,0.0005582872186269475,0.0,0.0005582872186269475
random_frontier,Random Frontier,18,100,100,100,0,0,1.0,1.0,1.0,2500.1483999324573,2500.2729316327914,2499.402241030157,0.00029853494169600566,0.00034835953506855415,0.00011418498220812224,4.973573435477863e-05,0.0004394002503737253,0.0,0.0004394002503737253
random_frontier,Random Frontier,29,100,100,100,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_frontier,Random Frontier,36,100,100,100,0,0,1.0,1.0,1.0,2711.4614382692084,2711.473014331204,2710.7489993360227,0.0002628199561671419,0.0002670903854833554,0.00010311380122743116,8.102759009610606e-05,0.0004051418891095602,0.0,0.0004051418891095602
random_frontier,Random Frontier,39,100,100,100,0,0,1.0,1.0,1.0,2413.2537271757847,2413.3071213590633,2412.3449305605654,0.000376727475290194,0.00039886120194026245,0.00012030793209787805,0.0001558440007638797,0.000531289968364176,7.616431151710787e-05,0.0005429134843904715
random_frontier,Random Frontier,42,100,100,100,0,0,1.0,1.0,1.0,2375.0080110770405,2375.1148455359407,2373.8902194904344,0.00047086911493579624,0.0005158730742692706,0.0001704884407727892,0.00016122266775130294,0.0006735143047857755,8.285440217545372e-05,0.0006735143047857755
